"","ADF/Cofilin","Arhgef8","Col9a1","Daam","Ddr","Depdc","Dync2h","EPB4.1","Eph","Ets","Farp","Foxf","GNA-L/S","Gata","Gna12/13","NDE","Paxillin","Rab5","Rabep","Rho","Rock","Tyrosinase"
"ADF/Cofilin",3.73872456276665e-09,0.475437231128588,3.8023475497175e-05,0.000712508560403719,0.596778424853776,0.208775113769895,1,0.0609319752782997,1,0.0205620096090485,0.488530106688927,0.0155784848732301,0.304961394980451,0.0858814101386246,0.404683236388479,0.176364322656146,0.00725799462228342,0.000556244828802851,0.111297442521689,0.712978461369979,0.26853901372439,0.947725356762798
"Arhgef8",0.0169908197475983,2.11999895562292e-09,0.0876197946139987,0.135916304860545,0.0383795423449048,0.85514183868957,0.4528402642067,0.733281900374711,0.633008157076941,0.0434480340031381,1,0.716730888124205,0.141768383631975,0.57966603666501,0.629092634045487,0.191706257371969,1,0.0967939695256591,1,0.108951546147132,0.104568743978923,0.703520624717397
"Col9a1",0.032776556587036,0.0876197946139987,0.643842590694271,1,0.185670323168895,0.000194414228543371,0.415853585434433,0.582474128709557,0.436881161036611,0.468999629355016,0.78401930619935,0.433950578437581,0.080538350901132,0.0728419121530308,0.68684511761406,1,0.827741535629312,0.0109401473783538,0.639139714449217,0.513235503771308,0.274507823760493,0.53921985662674
"Daam",0.0136960106434579,0.0248027090040405,0.0931326943161196,1.5917734503346e-05,0.65427119190485,1.96881601089415e-05,0.0513820896172176,0.0352488983054745,0.836854552022465,0.000477910614360731,0.471129565853051,0.465695698198413,0.083574920711325,0.0418931451974694,0.302747515163457,0.0585287081080595,0.355156078715082,0.775927904250256,0.805584221094722,0.204638376147057,0.842949641184924,5.46889583122609e-05
"Ddr",0.211751067261656,0.0383795423449049,0.662886254070151,0.504384884626095,0.245804161935623,0.0766079721474229,0.433587459001103,1,0.470491743930102,0.501466066059384,0.804682833665209,0.207399588031971,1,0.0368917900010392,0.721867871734898,0.739242920672822,0.688720194366498,0.615810500322054,0.654792159875788,0.688720194366498,1,0.0102230732730788
"Depdc",0.00132394585893015,0.00611430291766647,0.00115501545585788,0.000110434449567993,0.0398213837231011,2.73050865479792e-51,0.000773352399396475,0.0765594494212536,0.0188093215571759,0.00168067002993759,0.131604458521607,0.0175826503107969,0.0488243959778994,0.0126262922113433,0.307856876889014,1,0.0105065689883173,2.60502160755675e-06,0.451093700380853,0.00356711064624052,0.0901760421078292,0.0386486647978786
"Dync2h",0.0224695606743214,0.0395142613685049,1,0.19166143525056,1,0.000773352399396475,0.120310683385861,1,1,0.00837945353437651,1,0.212401520929024,0.276307400362927,1,0.148923712234778,0.529939892489835,0.69652943536124,0.143105289954901,0.661356066647854,0.843660456524517,0.183679201143281,0.000427745574696475
"EPB4.1",0.250531306531001,0.183431629543503,0.0585500524909027,0.238598043940323,0.268403738703464,0.211535328629202,0.285303632856372,0.121110239485768,0.34581208176943,0.0761444587888516,0.310863897607634,0.63956967218887,0.302161725784342,0.0568845401375144,1,0.413084321314662,0.197429748888858,0.740369362889806,1,1,0.644672286692373,0.0413006160389238
"Eph",0.185899129829546,1,0.436881161036611,0.21476395890325,0.470491743930102,0.0419672567194216,0.00237855953925181,1,0.000799315295048582,0.00498992543970878,0.001044657895238,1,0.123951748532853,0.500932612326883,0.0615221595328136,0.762069008010967,0.925954974343732,0.133186202279934,0.316871397513355,0.263092493619861,1,0.233558251810282
"Ets",0.0306535898230286,0.118529020471401,1,0.00140387704393973,0.095937365653848,0.00639501906947908,0.622106920827991,0.509279772431862,0.0156219530547547,3.32949281399993e-49,0.279296277349123,0.753554377725581,0.264719737000587,0.030802985065385,0.0177568943716886,1,0.728173797842021,0.914385337381509,1,0.0188178488795211,0.768703227335255,0.000160271788453726
