"","ADF/Cofilin","Arhgef8","Col9a1","Daam","Ddr","Depdc","Dync2h","EPB4.1","Eph","Ets","Farp","Foxf","GNA-L/S","Gata","Gna12/13","NDE","Paxillin","Rab5","Rabep","Rho","Rock","Tyrosinase"
"ADF/Cofilin",1.0744180037327,-0.350217139318786,1.53113836418259,0.805061086159125,-0.417331335177323,-0.257885258546711,-0.0664241733181948,0.926623066040038,-0.0311486985706644,0.457137782738818,0.216129683235023,-0.712787218703494,-0.805896623094976,0.418663634924182,-0.60175590631475,0.502941472351943,0.609140876183868,0.899142329617931,0.746644399933803,-0.127824717982338,-0.76525463859763,-0.0319002979838028
"Arhgef8",-1.15757206137639,1.8684149320785,-Inf,-0.930503152830469,-Inf,0.040181280344975,-0.994633490250185,-1.17151125233426,-0.222392421336448,-0.869620910683447,-0.00158625089195151,-0.193537558664263,-2.05603403491433,0.187891547971761,0.207000370919466,-1.42526784458005,-0.00356661502019261,-1.19899198875637,-0.056034034914328,0.511006557809566,-2.27842645625078,-0.14914343930581
"Col9a1",0.909649987436325,-Inf,-Inf,-0.148683322880003,1.02124167856231,-3.54723269937028,-Inf,0.195271078337359,-0.762500686273344,-0.640342103761759,0.195271078337359,-0.733645823601159,1.31074829575729,-2.35221671696513,0.251854606703726,-0.0584855139084242,-0.444139206406174,1.33771534335756,-Inf,0.36321571565143,-Inf,-0.426217298408911
"Daam",0.622197029009314,-1.51546565355163,0.851316677119997,1.1841330881501,0.224775072647442,-1.34369930528515,-2.42431776549343,1.2061593944801,-0.0995356735509146,0.795852047113648,-0.431270526135197,-0.282184916072441,0.836209784729789,0.606204179283466,-0.959649498489985,-1.85495211982329,0.282956143735971,0.0717634541414762,-0.485718310157573,-0.540166094179949,0.0992441905635831,-1.31579330871526
"Ddr",-1.00229383589848,-Inf,0.436279177841154,-0.775224927352558,0.809737573368598,-0.951381882506385,-Inf,-0.0162330268563528,-0.652076696579693,0.285657314794464,-0.431270526135197,0.514281689842427,-0.900755809436417,-2.56372082215885,0.0403505015100146,-1.26998961910214,0.151711610457718,0.278214331608902,-Inf,0.151711610457718,-0.123148230772865,-1.63772140360262
"Depdc",-0.700403494247662,0.609546926015113,-2.54723269937028,-1.17377430384283,-1.17377430384283,1.47207043902535,-2.23790464126255,-1.41478240334663,-0.498085050041189,-0.633724224997251,-0.476182948010771,0.393266288881061,-1.07691276459024,-0.640342103761759,-0.483729757064119,-0.00557398286998165,-0.639155188811317,-1.85730063904758,-0.469230187369004,-0.732264593202798,-0.784732013096934,-0.335831061951806
"Dync2h",-2.06642417331819,-Inf,-0.627851159578562,-1.42431776549343,-0.839355264772274,-2.23790464126255,1.09651439780801,-0.0803633642760683,-0.0381351288867711,-2.23790464126255,-0.0803633642760683,-1.00928026621459,-Inf,-0.0428886588574057,0.976220164090299,-1.33411995652185,-0.397845554132239,-2.10784410069818,0.450151352422711,0.087581273038003,-Inf,-2.70185174102234
"EPB4.1",0.56405298665533,-Inf,1.78023357905852,0.720732567309853,0.983766973143647,-0.999744904067784,0.919636635723932,1.74275887363985,-1.21501289097085,-2.41478240334663,0.742758873639852,-0.601195527577509,0.858236091059788,-Inf,-0.20065759799378,-Inf,0.688311089617476,-1.28472186278225,-Inf,-0.311688910382524,-Inf,-1.87872950310642
"Eph",0.290779396316698,-0.0418201756946271,-0.762500686273344,-0.471504450937872,-0.652076696579693,-0.433954712621474,1.13178987255554,-0.21501289097085,0.685196339546019,-0.787591667236174,0.872449950279489,-0.0146467759644013,0.600904044590178,-0.238938730216331,0.748461233004036,0.116193017504523,0.00355781941318943,-0.657531126671801,0.485426827170242,0.274859841230584,-0.15200309344505,0.207892851641333
"Ets",0.432046801775988,-0.628612811179652,-0.154915276591517,0.733116291765685,0.633580618214771,-0.542576336939056,0.221526977374749,-0.829819902625472,-0.672114449816238,1.9275222067501,-0.414782403346628,-0.0957717918415599,-0.714342685205536,0.497161419988176,-1.7732363742591,-0.0835764948712546,0.075090328854806,0.0171684788685624,-0.0769127645902438,-0.732264593202798,0.0632648934580164,-0.826817414463948
"Farp",0.00462557804131127,0.735379343274255,-1.80472892166264,-0.141763908940212,-0.016233026856353,0.000255095932215879,0.241564730611294,0.327721374361009,0.691877704637668,-0.829819902625472,0.327721374361009,-1.18615802829867,-Inf,0.443198591780944,0.121270496893582,-1.51099771860593,-0.311688910382524,-0.477366940724651,0.273273590338632,0.688311089617476,0.220806170444497,0.613123593223257
"Foxf",-2.58725633661964,0.221499940614581,-1.73364582360116,-0.360187428073714,0.862204993262733,0.300156884489579,0.312647828672776,0.135770066588697,-0.0146467759644013,-1.09577179184156,-0.601195527577509,1.31118982446492,-0.263325888821125,-0.82675522799264,0.329857118704999,-0.117986525657086,-0.302006356985185,-0.406283842663168,-1.07068081087873,-0.0706808108787294,1.16635838642212,-0.949665409917363
"GNA-L/S",-1.12782471798234,-2.05603403491433,0.895710796478451,0.0992441905635831,-0.900755809436417,-0.884267686647848,0.620076353865024,-0.141763908940212,-0.0995356735509144,-3.29930518592669,-0.556801408219056,-0.485718310157573,1.78106823053733,-1.68925170424271,-Inf,1.77440450025632,-0.781174193683744,0.152683449525044,0.388750807758568,0.388750807758568,-1.24867911285672,-0.178289784965326
"Gata",0.253604388653686,0.0883558744208469,-0.0302886220777723,0.805512987506873,-1.56372082215885,-0.593036388983402,0.179503762479042,-0.804728921662641,-0.118644496498619,0.359657896238241,0.00262600039496282,-0.341328400822398,-1.10428920352155,0.735246124285205,-0.748145393296274,-0.473523013187268,0.199716983368551,0.255253183165591,0.0477138899235008,0.256300511734919,-0.104289203521549,0.480673297199607
"Gna12/13",-0.864790312148544,-0.114927723967896,0.836817107424883,-0.959649498489985,-0.959649498489985,-1.13580645364381,-Inf,-Inf,0.0114956388378294,-3.35819887498026,-0.20065759799378,-0.322219577874694,-0.0851803805738444,-1.16318289257512,0.440888431093743,-Inf,-0.840067882737313,-1.22813833441589,-Inf,0.481860212150049,-1.30757280191029,-0.822145974740051
"NDE",-0.327133526205745,-0.840305343858891,-0.0584855139084242,-Inf,0.31497288161902,-0.79406987767627,0.987808138365511,0.489002281394069,-1.46876948321663,-1.08357649487125,-0.510997718605931,0.145047880176708,1.92640759370137,-2.05848551390842,-Inf,1.23524568914829,-0.150408003349464,-0.538478455028038,1.01951699809285,-0.150408003349464,-0.617912922522443,0.452476405368955
"Paxillin",0.789713121825689,-0.351489918440499,0.555860793593826,0.666284783287477,0.514281689842427,-0.391227675367731,-0.397845554132239,0.910703510953924,0.0997731346724921,0.231209530772088,-0.437219792466383,-0.433250890263437,-0.459246098796382,0.310748295757295,0.159932117262687,-0.565445502628307,-0.0766300772099158,0.163330693724552,-0.3661366944049,0.0489008048739432,-0.00356661502019245,0.154285554121545
"Rab5",-0.100857670382069,-0.877063893869008,0.752752842636408,-0.0437137632784599,1.12621123816385,-2.21987071843229,-1.10784410069818,0.715278137217745,-0.335603031784439,-0.120335044881372,-0.114796861339942,-0.89171066983341,1.00068035607999,-0.832209658084748,0.356824166305269,0.0464840456931185,0.0758678524742128,1.21135935685265,1.56772094880389,-0.46470052888849,1.77828793474355,-0.0482292444009529
"Rabep",-0.127824717982338,0.680931559251878,1.31074829575729,-2.07068081087873,0.514281689842427,-0.147302092481642,1.03511385314387,-Inf,0.485426827170242,0.285657314794464,-0.726726409661368,-0.655643311599886,0.973713308479724,-0.274214204963861,-Inf,1.34144509298021,-0.0442085995175385,1.05314777597413,-Inf,-0.366136694404901,-0.83364161357788,-1.76325228568648
"Rho",-0.423280601508509,0.359003464364516,-0.444139206406174,-0.333715216712523,-0.0706808108787294,0.0612845293297756,1.2802263509804,-0.311688910382524,0.537894247064377,-1.469230187369,0.562780207533617,0.174431686957802,-0.781174193683744,0.0152924122311236,1.48186021215005,-0.150408003349464,-0.143744273068453,-0.924132147525788,-0.0442085995175383,0.821490308770871,-1.41860411429904,0.209780666713249
"Rock",-0.350217139318786,-Inf,1.08835587442085,-1.12314823077287,-1.12314823077287,-1.78473201309693,-Inf,0.63584366972334,-0.15200309344505,-1.93673510654198,-1.36415633027666,0.613817363393341,-0.248679112856724,-1.326681624858,-Inf,0.382087077477557,-0.00356661502019245,1.69582577455157,-0.83364161357788,-2.00356661502019,1.85085656069419,0.10181813422741
"Tyrosinase",-0.438525557446446,-0.208037128359378,-0.618862376351307,-0.699121948266766,-0.0527589028814669,-0.178289784965326,-0.379923646134976,-0.878729503106418,0.250961573533219,-1.0362707800929,0.330723862522532,-0.415328982266175,0.484675227757103,0.40667271575583,0.177854025259949,0.452476405368955,0.314750226314791,0.0937897604714751,-0.178289784965326,0.125716401924774,-0.178289784965326,0.950993231979641
