"from","to","combined_score"
"10090.ENSMUSP00000000153","10090.ENSMUSP00000006112",212
"10090.ENSMUSP00000000153","10090.ENSMUSP00000006112",212
"10090.ENSMUSP00000004770","10090.ENSMUSP00000006151",804
"10090.ENSMUSP00000004770","10090.ENSMUSP00000006151",804
"10090.ENSMUSP00000000727","10090.ENSMUSP00000017975",928
"10090.ENSMUSP00000000727","10090.ENSMUSP00000017975",928
"10090.ENSMUSP00000004770","10090.ENSMUSP00000017975",529
"10090.ENSMUSP00000004770","10090.ENSMUSP00000017975",529
"10090.ENSMUSP00000006151","10090.ENSMUSP00000017975",277
"10090.ENSMUSP00000006151","10090.ENSMUSP00000017975",277
"10090.ENSMUSP00000000153","10090.ENSMUSP00000019317",313
"10090.ENSMUSP00000000153","10090.ENSMUSP00000019317",313
"10090.ENSMUSP00000000727","10090.ENSMUSP00000019317",909
"10090.ENSMUSP00000000727","10090.ENSMUSP00000019317",909
"10090.ENSMUSP00000017975","10090.ENSMUSP00000019317",971
"10090.ENSMUSP00000017975","10090.ENSMUSP00000019317",971
"10090.ENSMUSP00000000153","10090.ENSMUSP00000020904",222
"10090.ENSMUSP00000000153","10090.ENSMUSP00000020904",222
"10090.ENSMUSP00000015771","10090.ENSMUSP00000020904",230
"10090.ENSMUSP00000015771","10090.ENSMUSP00000020904",230
"10090.ENSMUSP00000018632","10090.ENSMUSP00000020904",243
"10090.ENSMUSP00000018632","10090.ENSMUSP00000020904",243
"10090.ENSMUSP00000000153","10090.ENSMUSP00000020930",918
"10090.ENSMUSP00000000153","10090.ENSMUSP00000020930",918
"10090.ENSMUSP00000000727","10090.ENSMUSP00000020930",211
"10090.ENSMUSP00000000727","10090.ENSMUSP00000020930",211
"10090.ENSMUSP00000006112","10090.ENSMUSP00000020930",241
"10090.ENSMUSP00000006112","10090.ENSMUSP00000020930",241
"10090.ENSMUSP00000017975","10090.ENSMUSP00000020930",237
"10090.ENSMUSP00000017975","10090.ENSMUSP00000020930",237
"10090.ENSMUSP00000018880","10090.ENSMUSP00000020930",284
"10090.ENSMUSP00000018880","10090.ENSMUSP00000020930",284
"10090.ENSMUSP00000019317","10090.ENSMUSP00000020930",245
"10090.ENSMUSP00000019317","10090.ENSMUSP00000020930",245
